"Name","Disc. Date","mmax","Mmax","z","Type"
"SN1987A","1987/02/24","1.9","-16.3","9.51e-06,9.78e-06,1.02e-05,1.06e-05,1.07e-05,1.11e-05,1.12e-05,1.13e-05,1.14e-05,1.15e-05,1.16e-05,1.17e-05,1.19e-05,1.22e-05","II Pec"
"SN2011fe","2011/08/24","9.48","-18.28","0.000804","Ia"
"SN2003dh","2003/03/31","12.62","-26.823","0.1685","Ic BL"
"CSS141118:092034+504148","2016/04/22","16.63","-19.3","0.0344","II P"
"SN1993J","1993/03/28","9.91","-17.4","-0.000113","IIb"
"SN2012fr","2012/10/27","11.74","-20.2","0.0054","Ia"
"SN2002ap","2002/01/29","12.04","-17.81","0.002108","Ic BL"
"SN2013dy","2013/07/10","12.8","-18.381","0.003889","Ia"
"SN2009ip","2012/07/24","12.01","-20.094","0.005944","IIn"
"SN2011dh","2011/06/01","11.15","-18.152","0.001638","IIb"
"SN2013ej","2013/07/25","11.52","-18.38","0.002192","II-P/L"
"SN2012dn","2012/07/08","13.67","-19.606","0.010187","Ia"
"SN2012aw","2012/03/16","11.96","-18.342","0.002595","II P"
"SN1999ee","1999/10/07","14.5","-18.6","0.01141,0.01141","Ia"
"SN2000cx","2000/07/17","12.9","-19.3","0.007929,0.008076","Ia Pec"
"SN2014J","2014/01/21","8.98","-18.4","0.000677,0.000739,0.000841","Ia"
"SN1999em","1999/10/29","12.8","-16.6","0.002392","II P"
"SN2005cf","2005/05/28","13.32","-18.7","0.006461,0.006461","Ia"
"SN1998bu","1998/05/09","11.44","-18.5","0.002992","Ia"
"ASASSN-14ha","2014/09/10","12.23","-19.505","0.005017","II"
"SN2007af","2007/03/01","13.05","-18.3","0.005464,0.005464","Ia"
"SN2010jl","2010/11/03","10.62","-22.8","0.0107","IIn"
"SN2015bn","2015/02/15","15.69","-22.874","0.1136","Ic"
"Gaia16apu","2016/05/21","15.54","","",""
"PTF12hsx","2012/08/14","17.46","-17.2","0.019,0.019","II"
"SN2016bkv","2016/03/21","13.35","-16","0.002,0.002","II"
"SN2015F","2015/03/09","13.1","-18.8","0.00541","Ia"
"SN2016bln","2016/04/04","15.3","-19.7779","0.023279","Ia-91T"
"SN2009dc","2009/04/09","14.53","-20.382","0.02158","Ia Pec"
"Gaia16ael","2016/02/17","15.24","","","Candidate"
"SN2005bf","2005/04/05","15.36","-19.2644","0.018913","Ib"
"SN2016dxj","2016/04/16","15.77","-22.4","0.094","Ia"
"SN2004eo","2004/09/17","15.14","-18.5","0.014734,0.015701","Ia"
"SN2002bo","2002/03/09","13.1","-18.65","0.00424,0.00424,0.00529,0.00606,0.00609,0.00636","Ia"
"SN2004et","2004/09/27","10.32","-18","0.000909,0.000974,0.000992,0.00102,0.00105,0.00107,0.00121,0.00122,0.00126,0.00132","II"
"SN2007gr","2007/08/15","11.62","-18","0.0017,0.0017","Ic"
"SN1991T","1991/04/13","10.93","-19.57","0.005791,0.005791","Ia-91T"
"SN2014cx","2014/09/02","13.1","-18.83","0.00549","II P"
"SN2016coi","2016/05/27","13.45","-17.591","0.003646,0.003646","Ic BL"
"SN2018bac","2018/04/19","17.04","-19.06","0.0372,0.0372","Ia"
"SN2016X","2016/01/20","12.62","-18.834","0.004408,0.004408","II P"
"SN2012ht","2012/12/18","12.91","-18.079","0.003559","Ia"
"SN2006jc","2006/10/09","12.99","-18.9","0.005574","Ibn"
"SN2005ke","2005/11/13","13.92","-18.2","0.00488,0.004483,0.00449,0.00488","Ia Pec"
"SN2006X","2006/02/04","12.53","-18.5","0.00524,0.006322,0.00524,0.00357,0.00633","Ia"
"iPTF13bvn","2013/06/16","14.75","-16.74","0.00449","Ib"
"SN2013ab","2013/02/17","13.33","-18.53","0.00532","II P"
"SN2008ax","2008/03/03","12.07","-16.5","0.001931","IIb"
"SN2005cs","2005/06/28","12.68","-16.2","0.00137,0.00144,0.00169,0.00172,0.00191,0.00203","II"
"SN2013fs","2013/10/07","14.09","-19.5162","0.011855","II P"
"SN2008hv","2008/12/02","14.26","-19.6423","0.013581,0.012549","Ia"
"SN1999ex","1999/11/09","15.97","-17.1","0.0114","Ib"
"SN2003du","2003/04/22","13.06","-19.5","0.006381","Ia"
"SN2001el","2001/09/17","12.4","-18.5","0.00346,0.00364,0.00391,0.00405,0.00514,0.00536","Ia"
"Gaia16aka","2016/03/31","15.32","","",""
"SN2016gkg","2016/09/20","13.69","-18","0.0049,0.00492,0.0049","IIb"
